chr1	161476380	161477530
chr1	161499250	161503340
chr1	161508640	161511550
chr1	161512990	161514490
chr10	14184480	14186410
chr10	14600680	14607650
chr10	14778030	14779350
chr10	14931210	14932210
chr10	14931320	14931680
chr10	14968900	14969870
chr10	14991680	14995900
chr10	14992470	14995900
chr10	15160660	15161190
chr11	122720920	122721540
chr11	122722010	122722400
chr11	122873990	122874690
chr11	122944480	122945400
chr11	122953920	122954380
chr11	122954560	122955210
chr11	122955420	122958770
chr11	122958230	122959280
chr11	123103890	123104890
chr11	123171860	123173210
chr11	123300490	123303610
chr21	15662450	15663400
chr21	15838660	15839430
chr21	15903390	15908840
chr21	15937410	15938530
chr21	15974650	15975850
chr21	16029510	16030720
chr4	127771180	127772050
chr4	128060510	128062580
chr4	128459870	128460340
chr4	128619410	128620910
chr4	128658270	128659140
chr4	128749390	128751790
chr4	128811390	128812240
chr4	128812350	128812730
chr4	129313580	129318620
chr4	129641230	129645330
chr4	129658100	129658980
chr5	132108260	132112790
chr5	132297130	132298950
chr5	132297340	132298950
chr5	132360810	132362180
chr5	132361070	132362180
chr5	132409990	132412340
chr5	132425390	132426880
chr5	132437570	132439550
chr5	132463880	132468310
chr5	132571760	132578120
chr5	132585270	132585800
chr5	132640440	132641790
chr5	132732150	132735400
chr5	133024130	133025000
chr5	133240450	133243230
chr5	136958450	136959210
chr5	137168850	137169750
chr5	137183200	137184660
chr5	137236200	137237820
chr5	137270480	137271480
chr5	137296430	137297850
chr5	137389010	137392320
chr5	137753300	137754640
chr5	137784450	137787320
chr5	137785280	137786140
chr5	137823800	137825980
chr5	137827180	137828640
chr5	137873840	137875780
chr5	137935660	137939050
chr5	137946110	137947870
chr5	138124890	138125960
chr5	138306380	138307240
chr5	138618870	138624250
chr6	31697000	31697820
chr6	31737890	31739520
chr6	32219940	32220740
chr9	127617130	127617910
chr9	127622540	127623690
chr9	127622540	127623690
chr9	127725980	127728420
chr9	127730430	127731220
chr9	127888270	127889100
chr9	127892750	127899690
chr9	127903260	127904910
chr9	127904950	127905660
chr9	127936650	127940020
chr9	127936780	127939100
chr9	127982980	127984460
chr9	127996440	127997120
chr9	128025680	128027720
chr9	128275060	128277110
chr9	128275580	128277220
